,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
89589,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
503,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
KR06,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,
MG02,,,,,,,,,,,,,,,,,,,,,,,,Planned Burn,,,,,,,,,,,,,,,,,
504,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
614,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
616,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
94818,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
95438,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
95446,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
95632,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
95689,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
95735,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
95736,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
95855,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
95925,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
95966,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
95952,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
95965,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96133,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96000,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96044,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96073,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96075,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
95933,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96085,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96241,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96155,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96135,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96178,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96039,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96252,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96312,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96264,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96223,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96250,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96253,,,,,,,,,,,,,,,,,,,,,,,,Undetermined,,,,,,,,,,,,,,,,,
96351,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96290,,,,,,,,,,,,,,,,,,,,,,,,Deliberate,,,,,,,,,,,,,,,,,
96296,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
96305,,,,,,,,,,,,,,,,,,,,,,,,Accidental,,,,,,,,,,,,,,,,,
